task_name,dataset_id,error_rate,method,n_raw,n_w,n_w_e1,n_w_e2,TP_e1,TP_e2,FP_e1,FP_e2,FN_e1,FN_e2,n_r2r,EDR_e1,Precision_e1,Recall_e1,F1_e1,EDR_e2,Precision_e2,Recall_e2,F1_e2
beers,13,10.001302818430538,baran,26510,2410,0,2410,0,1818,1607,3061,0,592,19432,-160700000000.0,0.0,0.0,0.0,-0.5157676348526317,0.37261733961801063,0.754356846469899,0.49883385481227066
beers,13,10.001302818430538,Unified,26510,2410,0,2410,0,1880,2,3867,0,530,20231,-200000000.0,0.0,0.0,0.0,-0.8244813277974088,0.32712719679776037,0.7800829875486304,0.46095377786337577
beers,13,10.001302818430538,GroundTruth,26510,2410,0,2410,0,2306,0,0,0,104,24100,0.0,0.0,0.0,0.0,0.9568464730250754,0.9999999999956636,0.9568464730250754,0.9779474080602012
beers,14,14.999782863594909,mode,26510,3561,1151,2410,995,1962,975,2820,156,448,19154,0.017376194613228705,0.5050761421294159,0.8644656820081281,0.6376161440105227,-0.3560165975088962,0.410288582182329,0.8141078838140494,0.5456062246858517
beers,14,14.999782863594909,bigdansing,26510,3561,1151,2410,983,1926,656,2420,168,484,19873,0.28410078192628935,0.5997559487455781,0.8540399652401909,0.7046594933558024,-0.20497925311118267,0.4431661297734856,0.7991701244780117,0.5701598533129809
beers,14,14.999782863594909,boostclean,26510,3561,1151,2410,878,1716,989,3766,273,694,18194,-0.09643788010341932,0.4702731655036408,0.7628149435207402,0.5818422749329669,-0.8506224066354746,0.3130244436331393,0.7120331950177924,0.4348707509516294
beers,14,14.999782863594909,holoclean,26510,3561,1151,2410,502,959,973,11411,649,1451,10565,-0.409209383141536,0.3403389830485401,0.4361424847920405,0.3823305358195856,-4.336929460562917,0.07752627324165115,0.39792531120166835,0.12976995667502098
beers,14,14.999782863594909,horizon,26510,3561,1151,2410,997,1952,729,2239,154,458,19981,0.23284100781726466,0.5776361529514622,0.866203301469451,0.6930830678400206,-0.11908713692896646,0.46575996182184265,0.8099585062207056,0.5914255369467973
beers,14,14.999782863594909,scared,26510,3561,1151,2410,978,1935,1108,1935,173,475,19906,-0.11294526498598659,0.46883988494502,0.8496959165868837,0.6042632020862768,0.0,0.49999999999870803,0.8029045643120212,0.6162420334848423
beers,14,14.999782863594909,baran,26510,3561,1151,2410,1041,2067,556,1509,110,343,20884,0.4213727193707961,0.6518472135212784,0.9044309296185541,0.757641916523572,0.23153526970858285,0.5780201342265715,0.8576763485441591,0.690611421849616
beers,14,14.999782863594909,Unified,26510,3561,1151,2410,896,1748,1070,3406,255,662,18473,-0.15117289313508975,0.45574771108618645,0.778453518672646,0.5749117694799453,-0.6879668049763985,0.3391540551021747,0.7253112033164926,0.46218931347805065
beers,14,14.999782863594909,GroundTruth,26510,3561,1151,2410,1151,2312,0,0,0,98,22949,0.999999999991312,0.999999999991312,0.999999999991312,0.9999999949913119,0.9593360995810817,0.9999999999956748,0.9593360995810817,0.9792460771665787
beers,1,20.002605636861077,mode,26510,4717,2307,2410,1870,1873,953,3485,437,537,17355,0.39748591243867587,0.6624158696398781,0.8105765062817054,0.7290448293557366,-0.6688796680470172,0.3495707353483584,0.7771784232332898,0.4822348051936495
beers,1,20.002605636861077,bigdansing,26510,4717,2307,2410,1773,1807,1621,2547,534,603,17625,0.06588643259616,0.5223924572760095,0.768530559164419,0.62199613620748,-0.3070539419074396,0.4150206706467271,0.7497925311172208,0.534299226635553
beers,1,20.002605636861077,boostclean,26510,4717,2307,2410,1636,1652,1855,3493,671,758,16445,-0.09492847854315159,0.4686336293312271,0.7091460771534064,0.5643325236646477,-0.7639004149345897,0.3210884353735256,0.6854771784203922,0.4373262696448401
beers,1,20.002605636861077,holoclean,26510,4717,2307,2410,903,920,986,10941,1404,1490,9866,-0.03597745990448211,0.47803070407370024,0.39141742522587164,0.43040990925157174,-4.1580912862898005,0.07756512941566683,0.38174273858762764,0.12893279797751706
beers,1,20.002605636861077,horizon,26510,4717,2307,2410,1794,1846,1391,2434,513,564,17968,0.17468573905429266,0.5632653061206805,0.7776332899836254,0.6533139062688927,-0.2439834024886142,0.43130841121394553,0.7659751037312615,0.5518684557776519
beers,1,20.002605636861077,scared,26510,4717,2307,2410,1765,1791,2354,1850,542,619,17589,-0.25530992631012006,0.42850206360663146,0.7650628521856738,0.549330838844343,-0.024481327800728293,0.49189783026505934,0.7431535269678707,0.5919682649124638
beers,1,20.002605636861077,baran,26510,4717,2307,2410,1787,1787,1493,2734,520,623,17566,0.12743823146888844,0.5448170731690707,0.7745990463772233,0.6396992971003163,-0.3929460580896558,0.39526653395179107,0.7414937759305332,0.5156543022001822
beers,1,20.002605636861077,Unified,26510,4717,2307,2410,1643,1669,1904,3278,664,741,16611,-0.11313394018156422,0.4632083450790437,0.7121803207598085,0.5613255845630448,-0.667634854769014,0.33737618758775545,0.6925311203290767,0.45371754350689714
beers,1,20.002605636861077,GroundTruth,26510,4717,2307,2410,2307,2290,0,0,0,120,21793,0.9999999999956655,0.9999999999956655,0.9999999999956655,0.9999999949956655,0.9502074688757253,0.9999999999956333,0.9502074688757253,0.9744680801054958
beers,2,25.001085682025447,mode,26510,5874,3464,2410,2664,1735,957,4034,800,675,15645,0.49278290992929336,0.7357083678521522,0.7690531177806899,0.7520112864611652,-0.9539419087097347,0.30074536314733796,0.7199170124451456,0.4242572400041552
beers,2,25.001085682025447,bigdansing,26510,5874,3464,2410,2489,1629,2157,2641,975,781,15838,0.09584295611981569,0.5357296599213609,0.7185334872958472,0.6138101060788019,-0.4199170124463904,0.38149882903891924,0.6759336099557015,0.48772454628439627
beers,2,25.001085682025447,boostclean,26510,5874,3464,2410,2314,1526,2596,3174,1150,884,14866,-0.08140877598128923,0.4712830957220544,0.6680138568110046,0.5526629996856226,-0.6838174273830547,0.324680851063139,0.6331950207442606,0.4292545665441982
beers,2,25.001085682025447,holoclean,26510,5874,3464,2410,1353,852,1066,10376,2111,1558,9194,0.08285219399514189,0.5593220338959929,0.390588914548526,0.45996939852182894,-3.9518672199006146,0.07588172426070904,0.35352697095288993,0.12494500368932587
beers,2,25.001085682025447,horizon,26510,5874,3464,2410,2582,1670,1872,2574,882,740,16190,0.20496535796707574,0.5797036371787614,0.7453810623535064,0.6521848902520666,-0.3751037344382776,0.393496701224332,0.692946058088411,0.5019537074312339
beers,2,25.001085682025447,scared,26510,5874,3464,2410,2026,1318,4873,2450,1438,1092,13313,-0.8218822170876967,0.2936657486588003,0.5848729792130922,0.391006460857873,-0.46970954356651573,0.34978768577401864,0.54688796680271,0.426675294689866
beers,2,25.001085682025447,baran,26510,5874,3464,2410,2629,1772,1399,2496,835,638,16741,0.35508083140775093,0.6526812313787173,0.7589491916837213,0.7018152646473912,-0.3004149377580896,0.41518275538796817,0.7352697095405176,0.5306978091021437
