task_name,num,dataset_id,error_rate,m,n,anomaly,missing,format,knowledge,cleaning_method,multi_wasserstein,outlier_ratio_rep,mean_col1,var_col1,normal_p_col1,mean_col2,var_col2,normal_p_col2,mean_col3,var_col3,normal_p_col3,mean_col4,var_col4,normal_p_col4,kl_numeric_avg,corr_avg,corr_max,cat_kl_avg
beers,9,36,9.24896265560166,11,2410,0.0,2.5,0.0,2.5,mode,37.54034584833482,0.178,0.07233609958506225,0.42350432036502134,0.0,20.0,0.0,1.0,1.0,0.0,1.0,12.044813278008299,0.3207804757057301,0.0,-0.2016114246813456,0.000413218254754128,0.000413218254754128,-0.017398004785943482
beers,9,36,9.24896265560166,11,2410,0.0,2.5,0.0,2.5,bigdansing,0.0,0.21169354838709678,0.07406431442608306,0.45582224072328986,0.0,42.952738184546135,754.0195364156355,6.380841004625077e-31,1420.2918304936654,567672.9401473909,5.133542317440133e-24,13.574569986836332,5.515023805349912,0.0,0.0,0.09941361272700257,0.3365990819427433,0.00852004378741978
beers,9,36,9.24896265560166,11,2410,0.0,2.5,0.0,2.5,boostclean,0.0,0.25,0.07406431442608306,0.45582224072328986,0.0,42.952738184546135,754.0195364156355,6.380841004625077e-31,1420.2918304936654,567672.9401473909,5.133542317440133e-24,13.574569986836332,5.515023805349912,0.0,0.0,0.12247976869371122,0.483055844230372,0.0
beers,9,36,9.24896265560166,11,2410,0.0,2.5,0.0,2.5,holoclean,5.664292046463916,0.19235225955967555,0.07312652889076339,0.43045447934233455,0.0,43.74809160305343,729.4467743992421,8.701276081697281e-35,1426.6799667497921,564903.542442577,2.18459506862649e-24,13.991901203819014,11.059155333258516,0.0,0.0046633561269312125,0.0722226485443959,0.26734778797410047,0.0
beers,9,36,9.24896265560166,11,2410,0.0,2.5,0.0,2.5,horizon,0.0,0.21169354838709678,0.07406431442608306,0.45582224072328986,0.0,42.952738184546135,754.0195364156355,6.380841004625077e-31,1420.2918304936654,567672.9401473909,5.133542317440133e-24,13.574569986836332,5.515023805349912,0.0,0.0,0.09941361272700257,0.3365990819427433,0.0039721305776213
beers,9,36,9.24896265560166,11,2410,0.0,2.5,0.0,2.5,scared,4.845996388175386,0.25413223140495866,0.0734126559714795,0.4548163994117568,0.0,41.69438202247191,739.1658979499015,3.201127668931156e-32,1422.0430555555556,561701.0138933919,3.9779642742977533e-23,13.561841068301225,5.3638599576468655,0.0,0.000285776391332421,0.10225602547420864,0.34049746381919754,-0.0021506707847919414
beers,9,36,9.24896265560166,11,2410,0.0,2.5,0.0,2.5,baran,2.5840518212247474,0.22674418604651161,0.0737191989551589,0.44431757747531614,0.0,42.952738184546135,754.0195364156355,6.380841004625077e-31,1420.2918304936654,567672.9401473909,5.133542317440133e-24,14.164400083612039,11.560088880853193,0.0,0.011796208646339061,0.09681003934467765,0.3341085247298012,-0.018803337941332276
beers,9,36,9.24896265560166,11,2410,0.0,2.5,0.0,2.5,Unified,0.0,0.21169354838709678,0.07406431442608306,0.45582224072328986,0.0,42.952738184546135,754.0195364156355,6.380841004625077e-31,1420.2918304936654,567672.9401473909,5.133542317440133e-24,13.574569986836332,5.515023805349912,0.0,0.0,0.09941361272700257,0.3365990819427433,-0.046213992612715936
beers,10,52,14.082987551867221,11,2410,0.0,5.0,0.0,5.0,mode,37.42378898886673,0.248,0.05854647302904565,0.00016422303653829262,3.410046405310736e-36,20.0,0.0,1.0,1.0,0.0,1.0,12.093130705394191,1.2515480713274392,0.0,-0.20053909678084564,0.04706294912384901,0.04706294912384901,-0.02998481112912138
beers,10,52,14.082987551867221,11,2410,0.0,5.0,0.0,5.0,bigdansing,0.0,0.2094240837696335,0.07488506829957607,0.4807193892349976,0.0,43.484177215189874,770.3877146035659,4.345907186967446e-30,1435.328996282528,565693.7141193082,2.4296038667480558e-23,13.564276773296243,5.25211288115322,0.0,0.0,0.1008140069583829,0.34611996846344956,0.005509492410305857
beers,10,52,14.082987551867221,11,2410,0.0,5.0,0.0,5.0,boostclean,0.0,0.22251308900523561,0.07488506829957607,0.4807193892349976,0.0,43.484177215189874,770.3877146035659,4.345907186967446e-30,1435.328996282528,565693.7141193082,2.4296038667480558e-23,13.564276773296243,5.25211288115322,0.0,0.0,0.12180733798939089,0.4726235526708164,0.0
beers,10,52,14.082987551867221,11,2410,0.0,5.0,0.0,5.0,holoclean,13.110889067214076,0.08661417322834646,0.07827790611168248,0.4284859440704699,0.0,48.669411920499236,2188.6378535472677,0.0,1558.0150791231072,1572832.5001774912,0.0,14.71926688923476,67.06054205117684,0.0,0.015463149596712706,0.05056564543690437,0.1524638598072711,-0.00575661668279399
beers,10,52,14.082987551867221,11,2410,0.0,5.0,0.0,5.0,horizon,0.0,0.2094240837696335,0.07488506829957607,0.4807193892349976,0.0,43.484177215189874,770.3877146035659,4.345907186967446e-30,1435.328996282528,565693.7141193082,2.4296038667480558e-23,13.564276773296243,5.25211288115322,0.0,0.0,0.1008140069583829,0.34611996846344956,0.027369188543827513
beers,10,52,14.082987551867221,11,2410,0.0,5.0,0.0,5.0,scared,9.250974584087997,0.18552036199095023,0.07488506829957607,0.4807193892349976,0.0,43.54430379746835,804.835416304653,4.7850576877476405e-28,1365.903354632588,567916.4007241492,7.594983125537748e-17,13.50221947935368,4.591812325852985,0.0,0.0011209253025892337,0.11443458287750875,0.377017678012475,0.0319330919997372
beers,10,52,14.082987551867221,11,2410,0.0,5.0,0.0,5.0,baran,2.9743221178179913,0.2149321266968326,0.07358808510638297,0.43429746158636995,0.0,43.69135802469136,755.903122169789,5.220716853696853e-30,1434.8550992155053,563452.5902590738,2.696899287062609e-23,13.629004514672685,5.828082488687829,0.0,0.0005929618865930954,0.09747130701303312,0.33542836001422427,-0.04775335506450364
beers,10,52,14.082987551867221,11,2410,0.0,5.0,0.0,5.0,Unified,0.0,0.2094240837696335,0.07488506829957607,0.4807193892349976,0.0,43.484177215189874,770.3877146035659,4.345907186967446e-30,1435.328996282528,565693.7141193082,2.4296038667480558e-23,13.564276773296243,5.25211288115322,0.0,0.0,0.1008140069583829,0.34611996846344956,-0.06487453504010629
beers,11,48,8.887966804979254,11,2410,0.0,2.5,1.25,1.25,mode,37.63049122729257,0.2,0.05897302904564315,0.00017492953378495926,7.038020451905863e-35,20.0,0.0,1.0,1.0,0.0,1.0,12.098109958506225,1.3103712809717702,0.0,-0.20019644440455225,0.034710318472953514,0.034710318472953514,-0.015765850333706966
beers,11,48,8.887966804979254,11,2410,0.0,2.5,1.25,1.25,bigdansing,0.0,0.2125,0.07426470588235294,0.4618013816872154,0.0,43.04376854599406,758.0225817786089,4.852662143330098e-31,1429.7228024369017,563418.8369286688,5.968721585141649e-24,13.572302487996506,5.496065711517825,0.0,0.0,0.0940907374217847,0.3350130057780318,0.003323568604366159
beers,11,48,8.887966804979254,11,2410,0.0,2.5,1.25,1.25,boostclean,0.0,0.21875,0.07426470588235294,0.4618013816872154,0.0,43.04376854599406,758.0225817786089,4.852662143330098e-31,1429.7228024369017,563418.8369286688,5.968721585141649e-24,13.572302487996506,5.496065711517825,0.0,0.0,0.12036621052574695,0.48542885406025116,-8.234588699599834e-05
beers,11,48,8.887966804979254,11,2410,0.0,2.5,1.25,1.25,holoclean,12.463414440001465,0.08661417322834646,0.07827790611168248,0.4284859440704699,0.0,48.669411920499236,2188.6378535472677,0.0,1558.0150791231072,1572832.5001774912,0.0,14.71926688923476,67.06054205117684,0.0,0.015722165720181737,0.05056564543690437,0.1524638598072711,0.0038210201197404624
beers,11,48,8.887966804979254,11,2410,0.0,2.5,1.25,1.25,horizon,0.0,0.2125,0.07426470588235294,0.4618013816872154,0.0,43.04376854599406,758.0225817786089,4.852662143330098e-31,1429.7228024369017,563418.8369286688,5.968721585141649e-24,13.572302487996506,5.496065711517825,0.0,0.0,0.0940907374217847,0.3350130057780318,0.011018499365426105
beers,11,48,8.887966804979254,11,2410,0.0,2.5,1.25,1.25,scared,3.2391827006168015,0.21308016877637131,0.07378539019963702,0.46307013776194483,0.0,42.31834929992631,758.994449190584,7.186130219225102e-32,1413.421577515866,556714.2394253563,1.0229928655155632e-22,13.609268345636126,5.475877581304257,0.0,0.0002874804771608155,0.09728590060905495,0.33624497793910774,-0.001772907815678095
beers,11,48,8.887966804979254,11,2410,0.0,2.5,1.25,1.25,baran,4.690641912164123,0.19096509240246407,0.07426470588235294,0.4618013816872154,0.0,42.24246877296106,744.2279303712669,4.5952351693947937e-32,1434.3718614718614,562478.0621788634,3.79069398076635e-24,13.600715839860749,5.458309467759438,0.0,0.00029815555202579333,0.10613099413601695,0.3358169700311155,-0.008900952596371782
beers,11,48,8.887966804979254,11,2410,0.0,2.5,1.25,1.25,Unified,0.0,0.2125,0.07426470588235294,0.4618013816872154,0.0,43.04376854599406,758.0225817786089,4.852662143330098e-31,1429.7228024369017,563418.8369286688,5.968721585141649e-24,13.572302487996506,5.496065711517825,0.0,0.0,0.0940907374217847,0.3350130057780318,-0.03690378589193772
beers,12,40,13.290456431535269,11,2410,0.0,5.0,2.5,2.5,mode,37.3076818794318,0.263,0.07173153526970955,0.42351550905077606,0.0,20.0,0.0,1.0,1.0,0.0,1.0,12.0,0.0,1.0,-0.20093761110527575,,,-0.030942001711090777
beers,12,40,13.290456431535269,11,2410,0.0,5.0,2.5,2.5,bigdansing,0.0,0.21409921671018275,0.07501098376313278,0.48737558850806184,0.0,42.4956862745098,751.1465669344661,6.56864409468307e-31,1435.184636742249,564624.148763861,3.454773735926539e-23,13.581167431192661,5.53447216791538,0.0,0.0,0.10084549002251464,0.3559109364179685,0.008453842018460379
beers,12,40,13.290456431535269,11,2410,0.0,5.0,2.5,2.5,boostclean,0.0,0.22193211488250653,0.07501098376313277,0.48737558850806184,0.0,42.4956862745098,751.1465669344661,6.56864409468307e-31,1435.184636742249,564624.148763861,3.454773735926539e-23,13.581167431192661,5.53447216791538,0.0,0.0,0.12162379611385385,0.48096072202097284,0.0
beers,12,40,13.290456431535269,11,2410,0.0,5.0,2.5,2.5,holoclean,16.728983505223464,0.11991869918699187,0.08638871794255355,0.44162869646738806,0.0,44.96256813766067,1897.2409768921675,0.0,1662.8792236258178,2184315.5348271285,0.0,16.177687232799023,145.2220186751316,0.0,0.027063202619151294,0.039933212338324954,0.15456609919455816,-0.00177165863300532
beers,12,40,13.290456431535269,11,2410,0.0,5.0,2.5,2.5,horizon,0.0,0.21409921671018275,0.07501098376313278,0.48737558850806184,0.0,42.4956862745098,751.1465669344661,6.56864409468307e-31,1435.184636742249,564624.148763861,3.454773735926539e-23,13.581167431192661,5.53447216791538,0.0,0.0,0.10084549002251464,0.3559109364179685,0.015680293178959706
