task_name,num,dataset_id,error_rate,m,n,anomaly,missing,format,knowledge,cleaning_method,multi_wasserstein,outlier_ratio_rep,mean_col1,var_col1,normal_p_col1,mean_col2,var_col2,normal_p_col2,mean_col3,var_col3,normal_p_col3,kl_numeric_avg,corr_avg,corr_max,cat_kl_avg
hospital,12,29,9.126315789473685,20,1000,0.0,5.0,2.5,2.5,baran,7690.304807790993,0.3146603098927294,2892903063.3018064,1.090377492371471e+18,8.407790785948902e-45,10243.936842105262,2057017.6545948645,0.0,37257.61087420043,84777375.63390511,0.0,0.00017543405205241473,0.924402616947512,0.9983095225518754,-0.0678990970059824
hospital,12,29,9.126315789473685,20,1000,0.0,5.0,2.5,2.5,Unified,0.0,0.38068965517241377,2878357022.147982,9.624413090947999e+17,1.2471556332490872e-43,10231.120746432493,1933227.1018877942,0.0,37117.734671125974,75543915.27996846,0.0,0.0,0.9047776386977974,0.9978924712833923,0.0
hospital,13,34,4.247368421052632,20,1000,1.25,1.25,2.5,0.0,mode,26705.129715461757,1.0,2562358900.0,0.0,1.0,10046.0,0.0,1.0,35233.0,0.0,1.0,-0.043748605662716746,,,-0.020603031722249227
hospital,13,34,4.247368421052632,20,1000,1.25,1.25,2.5,0.0,bigdansing,14543.90475032308,0.14142427281845538,2849471406.5846496,1.4160398333000714e+18,5.605193857299268e-45,9761.61961961962,6665233.103662781,0.0,36601.28328472204,401850580.0540745,0.0,0.012666797082794572,0.33316051464545454,0.3925161153524189,0.0031196426812596153
hospital,13,34,4.247368421052632,20,1000,1.25,1.25,2.5,0.0,boostclean,0.0,0.10787486515641856,3054531325.727607,2.6310390881167703e+18,0.0,11141.455376057595,33172467.939568635,0.0,41398.81459173662,835872469.6573879,0.0,0.0,0.14987747859598358,0.23655107787313853,0.0
hospital,13,34,4.247368421052632,20,1000,1.25,1.25,2.5,0.0,holoclean,10464.236834910938,0.095,2965876779.15863,2.075119064282121e+18,0.0,10471.324694261746,12002566.943340331,0.0,38029.052339055204,201717352.947179,0.0,0.0038526269001544536,0.39770893868001944,0.5049149204073929,-0.00867393194048851
hospital,13,34,4.247368421052632,20,1000,1.25,1.25,2.5,0.0,horizon,12527.4656281175,0.15614973262032086,2879355258.627,1.0354722103017402e+18,0.0,11141.455376057595,33172467.939568635,0.0,38216.21356033695,639242136.58052,0.0,-0.01099235157260599,0.3158103395308283,0.5481401309040567,-0.009849603048145339
hospital,13,34,4.247368421052632,20,1000,1.25,1.25,2.5,0.0,scared,6396.293627287602,0.08807733619763695,3019620416.8061285,2.3310418198165837e+18,0.0,10910.708838968027,23771990.816423096,0.0,40474.88459030396,524238690.7029043,0.0,-0.000892408252098669,0.13404029391067562,0.2204258929558695,0.0017893351088962238
hospital,13,34,4.247368421052632,20,1000,1.25,1.25,2.5,0.0,baran,11130.597720462414,0.09146341463414634,2965579033.161994,1.850364004901913e+18,0.0,10782.821151348036,19988934.47073762,0.0,59002227.90601743,1.478203050864727e+17,0.0,0.008152028651775443,0.0726257784723242,0.1775114364324172,-0.02588147647165894
hospital,13,34,4.247368421052632,20,1000,1.25,1.25,2.5,0.0,Unified,0.0,0.10787486515641856,3054531325.727607,2.6310390881167703e+18,0.0,11141.455376057595,33172467.939568635,0.0,41398.81459173662,835872469.6573879,0.0,0.0,0.14987747859598358,0.23655107787313853,0.0
hospital,14,22,8.310526315789474,20,1000,2.5,2.5,5.0,0.0,mode,33148.784489261794,1.0,2562358900.0,0.0,1.0,10012.0,0.0,1.0,35233.0,0.0,1.0,-0.06760270212410464,,,-0.0522200127529052
hospital,14,22,8.310526315789474,20,1000,2.5,2.5,5.0,0.0,bigdansing,24654.489524160443,0.15338042381432895,2832813776.7747974,2.136350038881772e+18,5.605193857299268e-45,9452.267112842266,22058893.49993518,0.0,36197.21648175279,440929266.44654596,0.0,0.10442531168245006,0.1453302853972763,0.4115087891142372,-0.0019085912901529523
hospital,14,22,8.310526315789474,20,1000,2.5,2.5,5.0,0.0,boostclean,0.6686040920436812,0.15366705471478465,3478922264.889581,7.641743879767843e+18,0.0,11536.796730662258,46980475.04566581,0.0,44684.43632666747,1219885379.8357415,0.0,0.0,0.060613867567794334,0.11467625195856593,-0.0005562906871122951
hospital,14,22,8.310526315789474,20,1000,2.5,2.5,5.0,0.0,holoclean,23613.410276476272,0.299,2882318541.4,1.041142739110447e+18,1.401298464324817e-45,10213.503,1764223.0930840839,0.0,37182.302,79611613.64844444,0.0,-0.041132344851982666,0.8847831511186636,0.9459162074694054,-0.023385847319768165
