task_name,num,dataset_id,error_rate,m,n,anomaly,missing,format,knowledge,cleaning_method,cluster_method,parameters,Silhouette Score,Davies-Bouldin Score,Combined Score
rayyan,5,58,22.90909090909091,12,1000,5.0,5.0,,,mode,KMEANS,k=28,0.6592312868691093,0.8235750297941318,0.9367248707808287
rayyan,5,58,22.90909090909091,12,1000,5.0,5.0,,,bigdansing,KMEANSNF,k=17,0.5122840715829228,0.8828505307801866,0.8224893194682843
rayyan,5,58,22.90909090909091,12,1000,5.0,5.0,,,bigdansing,GMM,"n_components=10, covariance type=tied",0.6805212008827016,0.3190807008866745,1.9072622981641512
rayyan,5,58,22.90909090909091,12,1000,5.0,5.0,,,bigdansing,HC,"k=16, linkage=average, metric=euclidean",0.6915246693649596,0.2546218324615154,2.309458829858604
rayyan,5,58,22.90909090909091,12,1000,5.0,5.0,,,bigdansing,KMEANS,k=17,0.6500510810427662,0.35736997650578456,1.7241357984361432
rayyan,5,58,22.90909090909091,12,1000,5.0,5.0,,,bigdansing,KMEANSPPS,k=15,0.6857850192947963,0.442639984290438,1.4724786693828578
rayyan,5,58,22.90909090909091,12,1000,5.0,5.0,,,holoclean,KMEANSNF,k=14,0.42021314980021135,1.0666109723823525,0.6788810512053831
rayyan,5,58,22.90909090909091,12,1000,5.0,5.0,,,holoclean,GMM,"n_components=14, covariance type=tied",0.5217132880188604,0.602210640976911,1.0911309134725138
rayyan,5,58,22.90909090909091,12,1000,5.0,5.0,,,holoclean,HC,"k=7, linkage=single, metric=euclidean",0.7561645931202527,0.23324260929593707,2.5217729434333247
rayyan,5,58,22.90909090909091,12,1000,5.0,5.0,,,holoclean,KMEANS,k=28,0.4625836305444066,0.7202884851106778,0.9254581254877154
rayyan,5,58,22.90909090909091,12,1000,5.0,5.0,,,holoclean,KMEANSPPS,k=21,0.46805907445168765,1.117223530918433,0.6815675510277607
rayyan,5,58,22.90909090909091,12,1000,5.0,5.0,,,horizon,KMEANSNF,k=16,0.5642340542818842,0.6179841738960778,1.0911992352624749
rayyan,5,58,22.90909090909091,12,1000,5.0,5.0,,,horizon,GMM,"n_components=12, covariance type=tied",0.6552058454951839,0.408187843108873,1.5525291630585718
rayyan,5,58,22.90909090909091,12,1000,5.0,5.0,,,horizon,HC,"k=5, linkage=single, metric=euclidean",0.6473607202142043,0.19947274370789508,2.8302884846345946
rayyan,5,58,22.90909090909091,12,1000,5.0,5.0,,,horizon,KMEANS,k=16,0.6878778424831097,0.41131378783038963,1.5595558414459931
rayyan,5,58,22.90909090909091,12,1000,5.0,5.0,,,horizon,KMEANSPPS,k=14,0.5356490693859817,0.8936557250242042,0.8273241115422946
rayyan,5,58,22.90909090909091,12,1000,5.0,5.0,,,scared,KMEANSNF,k=11,0.6175817502289402,0.7838422933280746,0.9466742915311531
rayyan,5,58,22.90909090909091,12,1000,5.0,5.0,,,scared,GMM,"n_components=8, covariance type=tied",0.5361029875658476,0.5483147835780577,1.1799364455933108
rayyan,5,58,22.90909090909091,12,1000,5.0,5.0,,,scared,HC,"k=12, linkage=single, metric=manhattan",0.6080978347330225,0.23528103372622056,2.4291670880976617
rayyan,5,58,22.90909090909091,12,1000,5.0,5.0,,,scared,KMEANS,k=15,0.6487166867069012,0.5370849386401181,1.2553097888845506
rayyan,5,58,22.90909090909091,12,1000,5.0,5.0,,,scared,KMEANSPPS,k=11,0.5134384269374136,0.922770831163887,0.7985655561509435
rayyan,5,58,22.90909090909091,12,1000,5.0,5.0,,,baran,KMEANSNF,k=14,0.5397635031931685,1.0100665766653294,0.7648986262769822
rayyan,5,58,22.90909090909091,12,1000,5.0,5.0,,,baran,GMM,"n_components=12, covariance type=tied",0.6151428046717775,0.5939309942280487,1.1494200427656849
rayyan,5,58,22.90909090909091,12,1000,5.0,5.0,,,baran,HC,"k=6, linkage=single, metric=manhattan",0.6263567482229463,0.29176245108718996,2.026901295401919
rayyan,5,58,22.90909090909091,12,1000,5.0,5.0,,,baran,KMEANS,k=15,0.6376175712006218,0.5640786107509704,1.2052100610082523
rayyan,5,58,22.90909090909091,12,1000,5.0,5.0,,,baran,KMEANSPPS,k=12,0.5312197682902837,0.8743684695589863,0.837451181501381
rayyan,5,58,22.90909090909091,12,1000,5.0,5.0,,,Unified,KMEANSNF,k=11,0.5476736095533674,0.6857813345846274,1.0029321807872398
rayyan,5,58,22.90909090909091,12,1000,5.0,5.0,,,Unified,GMM,"n_components=6, covariance type=spherical",0.32181465597793496,0.42692040752018956,1.3320858221356884
rayyan,5,58,22.90909090909091,12,1000,5.0,5.0,,,Unified,HC,"k=12, linkage=single, metric=manhattan",0.610640779278988,0.23114256623632246,2.4684875126037475
rayyan,5,58,22.90909090909091,12,1000,5.0,5.0,,,Unified,KMEANS,k=15,0.6329454348996388,0.4970778574933147,1.3223513589194298
rayyan,5,58,22.90909090909091,12,1000,5.0,5.0,,,Unified,KMEANSPPS,k=16,0.5727765841151126,0.7124695561748283,0.9881726639884016
rayyan,6,48,27.145454545454545,12,1000,5.0,10.0,,,mode,KMEANS,k=31,0.5845728511533083,0.9105742148820412,0.8413904874183038
rayyan,6,48,27.145454545454545,12,1000,5.0,10.0,,,bigdansing,KMEANSNF,k=10,0.6284632419722936,1.0307119137830465,0.7993332224266871
rayyan,6,48,27.145454545454545,12,1000,5.0,10.0,,,bigdansing,GMM,"n_components=12, covariance type=tied",0.6598633577498827,0.32759780117711335,1.8561934492635608
rayyan,6,48,27.145454545454545,12,1000,5.0,10.0,,,bigdansing,HC,"k=5, linkage=single, metric=euclidean",0.7897832449846327,0.13399618141012054,4.1263412409680535
rayyan,6,48,27.145454545454545,12,1000,5.0,10.0,,,bigdansing,KMEANS,k=14,0.6710268992918152,0.30527124378736364,1.973401099320092
rayyan,6,48,27.145454545454545,12,1000,5.0,10.0,,,bigdansing,KMEANSPPS,k=13,0.5991868013888323,0.3953649070325639,1.5642478783838534
rayyan,6,48,27.145454545454545,12,1000,5.0,10.0,,,holoclean,KMEANSNF,k=27,0.4408597814306844,0.9277046893961383,0.7593945049024928
rayyan,6,48,27.145454545454545,12,1000,5.0,10.0,,,holoclean,GMM,"n_components=30, covariance type=tied",0.4707482354019434,0.6834847190617884,0.966919368173205
